code,report_period,announce_date,record_date,ex_date,pay_date,cash_per_10_shares,cash_per_share,bonus_share_per_10_shares,transfer_share_per_10_shares,stock_dividend_ratio,position_multiplier,dividend_tax_rate,net_cash_per_share,source
600310.XSHG,2020-12-31,2021-05-18,2021-05-21,2021-05-24,2021-05-24,0.75,0.075,0,0,0,1,0.2,0.06,jqdatasdk.finance.STK_XR_XD
603393.XSHG,2020-12-31,2021-05-21,2021-05-26,2021-05-27,2021-05-27,6,0.6,0,2,0.2,1.2,0.2,0.48,jqdatasdk.finance.STK_XR_XD
300191.XSHE,2020-12-31,2021-05-21,2021-05-27,2021-05-28,2021-05-28,0.2,0.02,0,0,0,1,0.2,0.016,jqdatasdk.finance.STK_XR_XD
603353.XSHG,2020-12-31,2021-05-25,2021-05-28,2021-05-31,2021-05-31,5,0.5,0,3,0.3,1.3,0.2,0.4,jqdatasdk.finance.STK_XR_XD
002492.XSHE,2020-12-31,2021-06-03,2021-06-09,2021-06-10,2021-06-10,0.2,0.02,0,0,0,1,0.2,0.016,jqdatasdk.finance.STK_XR_XD
000059.XSHE,2020-12-31,2021-06-05,2021-06-10,2021-06-11,2021-06-11,0.79,0.079,0,0,0,1,0.2,0.0632,jqdatasdk.finance.STK_XR_XD
600028.XSHG,2020-12-31,2021-06-09,2021-06-16,2021-06-17,2021-06-17,1.3,0.13,0,0,0,1,0.2,0.104,jqdatasdk.finance.STK_XR_XD
000096.XSHE,2020-12-31,2021-06-10,2021-06-17,2021-06-18,2021-06-18,0.2,0.02,0,0,0,1,0.2,0.016,jqdatasdk.finance.STK_XR_XD
603223.XSHG,2020-12-31,2021-06-11,2021-06-17,2021-06-18,2021-06-18,1.5,0.15,0,0,0,1,0.2,0.12,jqdatasdk.finance.STK_XR_XD
603689.XSHG,2020-12-31,2021-06-16,2021-06-22,2021-06-23,2021-06-23,1.9,0.19,0,0,0,1,0.2,0.152,jqdatasdk.finance.STK_XR_XD
000968.XSHE,2020-12-31,2021-06-18,2021-06-23,2021-06-24,2021-06-24,0.5,0.05,0,0,0,1,0.2,0.04,jqdatasdk.finance.STK_XR_XD
601857.XSHG,2020-12-31,2021-06-21,2021-06-28,2021-06-29,2021-06-29,0.8742,0.08742,0,0,0,1,0.2,0.069936,jqdatasdk.finance.STK_XR_XD
000703.XSHE,2020-12-31,2021-06-29,2021-07-05,2021-07-06,2021-07-06,3,0.3,0,0,0,1,0.2,0.24,jqdatasdk.finance.STK_XR_XD
000159.XSHE,2020-12-31,2021-07-02,2021-07-08,2021-07-09,2021-07-09,0.2,0.02,0,0,0,1,0.2,0.016,jqdatasdk.finance.STK_XR_XD
300839.XSHE,2020-12-31,2021-07-06,2021-07-12,2021-07-13,2021-07-13,1,0.1,0,3,0.3,1.3,0.2,0.08,jqdatasdk.finance.STK_XR_XD
002221.XSHE,2020-12-31,2021-07-10,2021-07-15,2021-07-16,2021-07-16,2.31,0.231,0,0,0,1,0.2,0.1848,jqdatasdk.finance.STK_XR_XD
600688.XSHG,2020-12-31,2021-07-13,2021-07-19,2021-07-20,2021-07-20,1,0.1,0,0,0,1,0.2,0.08,jqdatasdk.finance.STK_XR_XD
000554.XSHE,2020-12-31,2021-07-20,2021-07-26,2021-07-27,2021-07-27,0.1,0.01,0,0,0,1,0.2,0.008,jqdatasdk.finance.STK_XR_XD
600028.XSHG,2021-06-30,2021-09-09,2021-09-16,2021-09-17,2021-09-17,1.6,0.16,0,0,0,1,0.2,0.128,jqdatasdk.finance.STK_XR_XD
601857.XSHG,2021-06-30,2021-09-09,2021-09-16,2021-09-17,2021-09-17,1.304,0.1304,0,0,0,1,0.2,0.10432,jqdatasdk.finance.STK_XR_XD
